PO Number,Part Number,Actual  M/C Fin Date,Actual Fin Date,Remarks,Status 
PP74539,H57009-52,20-Jan-14,27-Jan-14,Material ETA 29th October,IPO13-400439
PP74539,H57013-151,19-Jan-14,27-Jan-14,Material ETA 29th October,IPO13-400439
PP69810,H30211-1,25-Jan-14,3-Feb-14,GRV Need to issue for each PO ,GRV Required for each PO
PP68988,H30211-1,25-Jan-14,3-Feb-14,GRV Need to issue for each PO ,GRV Required for each PO
PP74592,H57721-73 ,28-Jan-14,10-Feb-14, Material ETA 20th Dec ,IPO13-400508 to Haigo
PP74814,H57832-11,23-Jan-14,24-Feb-14,,
PP74540,H57721-71,16-Feb-14,27-Feb-14,Material ETA 29th November,IPO13-400432 to OHMI Japan
PP74540,H57009-60,20-Feb-14,27-Feb-14,Material ETA 29th November,IPO13-400437 to OHMI Japan
PP74540,H57009-52,20-Feb-14,27-Feb-14,Material ETA 29th November,IPO13-400439
PP74540,H57013-151,19-Feb-14,27-Feb-14,Material ETA 29th November,IPO13-400439
PX19757,H57842-113,6-Feb-14,10-Mar-14,,
PP74815,H57832-11,20-Feb-14,24-Mar-14,,
PP74541,H57721-71,16-Mar-14,27-Mar-14,Material ETA 29th December,IPO13-400432 to OHMI Japan
PP74541,H57009-60,20-Mar-14,27-Mar-14,Material ETA 29th December,IPO13-400437 to OHMI Japan
PP74541,H57009-52,20-Mar-14,27-Mar-14,Material ETA 29th December,IPO13-400439
PP74541,H57013-151,19-Mar-14,27-Mar-14,Material ETA 29th December,IPO13-400439
PP74816,H57832-11,23-Jul-14,24-Aug-14,,
